STATION,NAME,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-DUTR-NORMAL,DLY-TAVG-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,DLY-DUTR-STDDEV,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE025HI,DLY-PRCP-PCTALL-GE050HI,Target_Temperature,Rain_Tomorrow
USC00081306,"CAPE FLORIDA, FL US",21.8,25.8,17.9,-9.8,-13.8,-14.6,-12.5,-14.3,9.6,5.9,3.4,21.7,0
USC00081306,"CAPE FLORIDA, FL US",21.7,25.7,17.8,-9.8,-13.8,-14.6,-12.5,-14.3,9.5,5.9,3.3,21.7,0
USC00081306,"CAPE FLORIDA, FL US",21.7,25.7,17.6,-9.8,-13.8,-14.6,-12.5,-14.3,9.5,5.9,3.3,21.6,0
USC00081306,"CAPE FLORIDA, FL US",21.6,25.6,17.5,-9.7,-13.7,-14.5,-12.4,-14.3,9.5,5.9,3.2,21.5,0
USC00081306,"CAPE FLORIDA, FL US",21.5,25.6,17.4,-9.7,-13.7,-14.5,-12.4,-14.3,9.5,5.9,3.2,21.4,0
USC00081306,"CAPE FLORIDA, FL US",21.4,25.5,17.3,-9.6,-13.7,-14.6,-12.4,-14.2,9.6,5.9,3.1,21.3,0
USC00081306,"CAPE FLORIDA, FL US",21.3,25.4,17.2,-9.6,-13.7,-14.6,-12.4,-14.2,9.6,5.9,3.1,21.3,0
USC00081306,"CAPE FLORIDA, FL US",21.3,25.4,17.1,-9.5,-13.7,-14.6,-12.4,-14.2,9.7,6.0,3.2,21.2,0
USC00081306,"CAPE FLORIDA, FL US",21.2,25.3,17.1,-9.5,-13.8,-14.6,-12.4,-14.2,9.8,6.1,3.2,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.3,16.9,-9.4,-13.8,-14.6,-12.4,-14.2,9.9,6.2,3.2,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.3,16.9,-9.4,-13.8,-14.6,-12.4,-14.2,10.0,6.3,3.3,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.2,16.8,-9.4,-13.8,-14.6,-12.5,-14.2,10.1,6.4,3.3,21.0,0
USC00081306,"CAPE FLORIDA, FL US",21.0,25.2,16.8,-9.3,-13.8,-14.6,-12.5,-14.2,10.2,6.5,3.4,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-13.8,-14.6,-12.6,-14.2,10.3,6.6,3.4,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-13.9,-14.6,-12.6,-14.2,10.3,6.6,3.4,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-13.9,-14.7,-12.6,-14.2,10.4,6.7,3.5,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-13.9,-14.7,-12.7,-14.2,10.5,6.8,3.5,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.0,-14.7,-12.7,-14.2,10.7,7.0,3.6,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.0,-14.8,-12.7,-14.2,10.7,7.1,3.7,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.1,-14.8,-12.8,-14.2,10.9,7.2,3.8,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.1,-14.8,-12.8,-14.3,11.0,7.4,3.9,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.1,-14.9,-12.8,-14.3,11.1,7.5,4.0,20.9,0
USC00081306,"CAPE FLORIDA, FL US",20.9,25.2,16.7,-9.3,-14.2,-14.9,-12.8,-14.3,11.2,7.6,4.1,21.0,0
USC00081306,"CAPE FLORIDA, FL US",21.0,25.2,16.8,-9.3,-14.2,-14.9,-12.9,-14.3,11.4,7.7,4.2,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.2,16.8,-9.3,-14.2,-14.9,-12.9,-14.3,11.5,7.8,4.3,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.3,16.9,-9.4,-14.2,-14.9,-12.9,-14.3,11.7,8.0,4.4,21.1,0
USC00081306,"CAPE FLORIDA, FL US",21.1,25.3,16.9,-9.4,-14.2,-15.0,-12.9,-14.3,11.8,8.1,4.5,21.2,0
USC00081306,"CAPE FLORIDA, FL US",21.2,25.3,17.0,-9.4,-14.2,-15.0,-12.9,-14.3,12.0,8.2,4.6,21.2,0
USC00081306,"CAPE FLORIDA, FL US",21.2,25.4,17.1,-9.4,-14.2,-15.0,-12.9,-14.3,12.2,8.3,4.7,21.3,0
USC00081306,"CAPE FLORIDA, FL US",21.3,25.4,17.1,-9.5,-14.2,-14.9,-12.9,-14.3,12.3,8.4,4.7,21.3,0
USC00081306,"CAPE FLORIDA, FL US",21.3,25.5,17.2,-9.5,-14.2,-14.9,-12.9,-14.3,12.4,8.4,4.8,21.4,0
USC00081306,"CAPE FLORIDA, FL US",21.4,25.5,17.3,-9.6,-14.2,-14.9,-12.9,-14.3,12.5,8.5,4.8,21.5,0
USC00081306,"CAPE FLORIDA, FL US",21.5,25.6,17.4,-9.6,-14.2,-14.9,-12.9,-14.4,12.6,8.5,4.8,21.6,0
USC00081306,"CAPE FLORIDA, FL US",21.6,25.6,17.4,-9.6,-14.2,-14.9,-12.9,-14.4,12.6,8.4,4.7,21.6,0
USC00081306,"CAPE FLORIDA, FL US",21.6,25.7,17.6,-9.7,-14.2,-14.9,-12.9,-14.4,12.7,8.4,4.7,21.7,0
USC00081306,"CAPE FLORIDA, FL US",21.7,25.7,17.7,-9.7,-14.2,-14.9,-13.0,-14.4,12.7,8.4,4.7,21.7,0
USC00081306,"CAPE FLORIDA, FL US",21.7,25.8,17.7,-9.7,-14.2,-14.9,-13.0,-14.4,12.8,8.3,4.6,21.8,0
USC00081306,"CAPE FLORIDA, FL US",21.8,25.8,17.8,-9.8,-14.2,-14.8,-13.0,-14.5,12.7,8.3,4.5,21.9,0
USC00081306,"CAPE FLORIDA, FL US",21.9,25.9,17.9,-9.8,-14.2,-14.8,-13.0,-14.5,12.7,8.2,4.4,21.9,0
USC00081306,"CAPE FLORIDA, FL US",21.9,25.9,18.0,-9.8,-14.2,-14.8,-13.0,-14.6,12.7,8.1,4.4,22.0,0
USC00081306,"CAPE FLORIDA, FL US",22.0,25.9,18.1,-9.9,-14.2,-14.8,-13.0,-14.6,12.6,8.0,4.3,22.1,0
USC00081306,"CAPE FLORIDA, FL US",22.1,26.0,18.2,-9.9,-14.1,-14.8,-13.0,-14.6,12.6,7.9,4.2,22.2,0
USC00081306,"CAPE FLORIDA, FL US",22.2,26.1,18.2,-9.9,-14.1,-14.8,-13.0,-14.6,12.5,7.7,4.1,22.2,0
USC00081306,"CAPE FLORIDA, FL US",22.2,26.1,18.3,-10.0,-14.1,-14.7,-13.0,-14.6,12.5,7.7,4.1,22.3,0
USC00081306,"CAPE FLORIDA, FL US",22.3,26.2,18.4,-10.0,-14.1,-14.7,-13.0,-14.7,12.4,7.5,4.0,22.3,0
